Daemon started at 7:57:5 with pid 8533
To kill this process type "kill 8533" at the head node command line
Daemon has been running for 1.77947680155e-05 hours
Daemon has been running for 4.00139225854e-05 hours
Daemon has been running for 5.90917136934e-05 hours
Daemon has been running for 7.77347220315e-05 hours
Daemon has been running for 9.66433684031e-05 hours
Daemon has been running for 0.000114055342144 hours
Daemon has been running for 0.000133933358722 hours
Daemon has been running for 0.000151241686609 hours
Daemon has been running for 0.00017281472683 hours
Daemon has been running for 0.000191995832655 hours
Daemon has been running for 0.000211828947067 hours
Daemon has been running for 0.000231063101027 hours
Daemon has been running for 0.000248465008206 hours
Daemon has been running for 0.000267895857493 hours
Daemon has been running for 0.00028738922543 hours
Daemon has been running for 0.000307920310232 hours
Daemon has been running for 0.000327479508188 hours
Daemon has been running for 0.000346498952972 hours
Daemon has been running for 0.000366353061464 hours
Daemon has been running for 0.000385400056839 hours
Daemon has been running for 0.000402920577261 hours
Daemon has been running for 0.000421829753452 hours
Daemon has been running for 0.000438524219725 hours
Daemon has been running for 0.00045950975683 hours
Daemon has been running for 0.0283424941699 hours
Daemon has been running for 0.0283615442117 hours
Daemon has been running for 0.0283790067169 hours
Daemon has been running for 0.0283998192019 hours
Daemon has been running for 0.0284191039536 hours
Daemon has been running for 0.0284365291728 hours
Daemon has been running for 0.0284572369523 hours
Daemon has been running for 0.0284763661358 hours
Daemon has been running for 0.0284969441758 hours
Daemon has been running for 0.028515583343 hours
Daemon has been running for 0.0285343411234 hours
Daemon has been running for 0.0285535169972 hours
Daemon has been running for 0.0285733222299 hours
Daemon has been running for 0.0285957627826 hours
Daemon has been running for 0.0286138989528 hours
Daemon has been running for 0.0286356341839 hours
Daemon has been running for 0.0286546208461 hours
Daemon has been running for 0.0286720853382 hours
Daemon has been running for 0.0286913288964 hours
Daemon has been running for 0.0287096091774 hours
Daemon has been running for 0.0287291667196 hours
Daemon has been running for 0.0287462213967 hours
Daemon has been running for 0.0510598836342 hours
Daemon has been running for 0.0510798899995 hours
Daemon has been running for 0.0566746161381 hours
Daemon has been running for 0.0566923656066 hours
Daemon has been running for 0.0567140425576 hours
Daemon has been running for 0.0567331322696 hours
Daemon has been running for 0.0567501538992 hours
Daemon has been running for 0.0567707261112 hours
Daemon has been running for 0.056789632837 hours
Daemon has been running for 0.0568082880974 hours
Daemon has been running for 0.0568282911513 hours
Daemon has been running for 0.0568471736378 hours
Daemon has been running for 0.0568646214406 hours
Daemon has been running for 0.0568854850531 hours
Daemon has been running for 0.0569064803256 hours
Daemon has been running for 0.056925525864 hours
Daemon has been running for 0.0569447088904 hours
Daemon has been running for 0.0569621469577 hours
Daemon has been running for 0.0569828361273 hours
Daemon has been running for 0.0570010714398 hours
Daemon has been running for 0.0570226658715 hours
Daemon has been running for 0.0570424353414 hours
Daemon has been running for 0.0737876327833 hours
Daemon has been running for 0.0738080141942 hours
Daemon has been running for 0.0794022008446 hours
Daemon has been running for 0.0849937691953 hours
Daemon has been running for 0.0850131036176 hours
Daemon has been running for 0.0850319261683 hours
Daemon has been running for 0.0850525691774 hours
Daemon has been running for 0.0850709100564 hours
Daemon has been running for 0.0850922516982 hours
Daemon has been running for 0.085111354457 hours
Daemon has been running for 0.0851307403379 hours
Daemon has been running for 0.0851499166754 hours
Daemon has been running for 0.0851682366927 hours
Daemon has been running for 0.0851877052916 hours
Daemon has been running for 0.0852059069607 hours
Daemon has been running for 0.0852264816893 hours
Daemon has been running for 0.0852458644576 hours
Daemon has been running for 0.0852649619844 hours
Daemon has been running for 0.0852854981025 hours
Daemon has been running for 0.0853044925133 hours
Daemon has been running for 0.0908962730567 hours
Daemon has been running for 0.090917353895 hours
Daemon has been running for 0.0965102869935 hours
Daemon has been running for 0.0965305525064 hours
Daemon has been running for 0.10769832419 hours
Daemon has been running for 0.107719001439 hours
