Daemon started at 14:13:30 with pid 21590
To kill this process type "kill 21590" at the head node command line
Daemon has been running for 0.00556212557687 hours
Daemon has been running for 0.0111239777671 hours
Daemon has been running for 0.0166856063737 hours
Daemon has been running for 0.0222463836273 hours
Daemon has been running for 0.0278079230918 hours
Daemon has been running for 0.0333693624867 hours
Daemon has been running for 0.03893197808 hours
Daemon has been running for 0.0444943453206 hours
Daemon has been running for 0.050056178636 hours
Daemon has been running for 0.0556191105975 hours
Daemon has been running for 0.0611815775103 hours
Daemon has been running for 0.0667436094417 hours
Daemon has been running for 0.0723050916857 hours
Daemon has been running for 0.0778666602903 hours
Daemon has been running for 0.0834290766716 hours
Daemon has been running for 0.0889906022284 hours
Daemon has been running for 0.0945518511534 hours
Daemon has been running for 0.100113528636 hours
Daemon has been running for 0.105675299168 hours
Daemon has been running for 0.111236574981 hours
Daemon has been running for 0.116798356374 hours
Daemon has been running for 0.122360199756 hours
Daemon has been running for 0.127921511398 hours
Daemon has been running for 0.133483559423 hours
Daemon has been running for 0.13904620058 hours
Daemon has been running for 0.144608383377 hours
Daemon has been running for 0.150171031952 hours
Daemon has been running for 0.155732844207 hours
Daemon has been running for 0.161294866403 hours
Daemon has been running for 0.166857096155 hours
Daemon has been running for 0.172418347531 hours
Daemon has been running for 0.17798026224 hours
Daemon has been running for 0.183542427487 hours
Daemon has been running for 0.189103859729 hours
Daemon has been running for 0.1946653531 hours
Daemon has been running for 0.200227242774 hours
Daemon has been running for 0.205789185829 hours
Daemon has been running for 0.211356883645 hours
Daemon has been running for 0.216919303338 hours
Daemon has been running for 0.222482676705 hours
Daemon has been running for 0.228045423892 hours
Daemon has been running for 0.233608581093 hours
Daemon has been running for 0.239171442522 hours
Daemon has been running for 0.244733627505 hours
Daemon has been running for 0.250295788315 hours
Daemon has been running for 0.255858360264 hours
Daemon has been running for 0.261420492265 hours
Daemon has been running for 0.266983673043 hours
Daemon has been running for 0.272545872529 hours
Daemon has been running for 0.27810809056 hours
Daemon has been running for 0.283670491378 hours
Daemon has been running for 0.289232506421 hours
Daemon has been running for 0.294794574711 hours
Daemon has been running for 0.300357001689 hours
Daemon has been running for 0.305919871132 hours
Daemon has been running for 0.3114821689 hours
Daemon has been running for 0.317044004202 hours
Daemon has been running for 0.322606299983 hours
Daemon has been running for 0.328168054753 hours
Daemon has been running for 0.33373045365 hours
Daemon has been running for 0.339292514722 hours
Daemon has been running for 0.34485427724 hours
Daemon has been running for 0.350416702231 hours
Daemon has been running for 0.355978816946 hours
Daemon has been running for 0.361540671984 hours
Daemon has been running for 0.367106057538 hours
Daemon has been running for 0.3726698839 hours
Daemon has been running for 0.378232628372 hours
Daemon has been running for 0.383795340591 hours
Daemon has been running for 0.389357345038 hours
Daemon has been running for 0.394919561942 hours
Daemon has been running for 0.40048189693 hours
Daemon has been running for 0.406043626401 hours
Daemon has been running for 0.411605448325 hours
Daemon has been running for 0.417168527246 hours
Daemon has been running for 0.422730314732 hours
Daemon has been running for 0.42829310086 hours
Daemon has been running for 0.43385551254 hours
Daemon has been running for 0.439420609209 hours
Daemon has been running for 0.444983310832 hours
Daemon has been running for 0.450545523034 hours
Daemon has been running for 0.456108380556 hours
Daemon has been running for 0.461671449211 hours
Daemon has been running for 0.467234280838 hours
Daemon has been running for 0.472797332207 hours
Daemon has been running for 0.478359486924 hours
Daemon has been running for 0.483922440012 hours
Daemon has been running for 0.489485940006 hours
Daemon has been running for 0.495048084458 hours
Daemon has been running for 0.500611799757 hours
Daemon has been running for 0.506173880829 hours
Daemon has been running for 0.51173542334 hours
Daemon has been running for 0.517298064762 hours
Daemon has been running for 0.522861056129 hours
Daemon has been running for 0.528422791428 hours
Daemon has been running for 0.533985805578 hours
Daemon has been running for 0.539548273087 hours
Daemon has been running for 0.545110357205 hours
Daemon has been running for 0.550674629145 hours
Daemon has been running for 0.556237306926 hours
Daemon has been running for 0.561799496942 hours
Daemon has been running for 0.567361388604 hours
Daemon has been running for 0.572923993601 hours
Daemon has been running for 0.578485910561 hours
Daemon has been running for 0.584048379991 hours
Daemon has been running for 0.58961089419 hours
Daemon has been running for 0.595173032482 hours
Daemon has been running for 0.600735076931 hours
Daemon has been running for 0.60629773279 hours
Daemon has been running for 0.611860188047 hours
Daemon has been running for 0.617422683636 hours
Daemon has been running for 0.622984988358 hours
Daemon has been running for 0.628547914426 hours
Daemon has been running for 0.634110620817 hours
Daemon has been running for 0.639673192236 hours
