Daemon started at 16:50:35 with pid 28316
To kill this process type "kill 28316" at the head node command line
Daemon has been running for 0.00556297057205 hours
Daemon has been running for 0.0111244516902 hours
Daemon has been running for 0.0166857096884 hours
Daemon has been running for 0.0222467274798 hours
Daemon has been running for 0.027808707224 hours
Daemon has been running for 0.0333696005742 hours
Daemon has been running for 0.0389312419626 hours
Daemon has been running for 0.0444927910964 hours
Daemon has been running for 0.0500548408429 hours
Daemon has been running for 0.0556158977747 hours
Daemon has been running for 0.061177972224 hours
Daemon has been running for 0.0667390438583 hours
Daemon has been running for 0.0723008444574 hours
Daemon has been running for 0.0778628405597 hours
Daemon has been running for 0.0834246902996 hours
Daemon has been running for 0.0889863358604 hours
Daemon has been running for 0.0945483491818 hours
Daemon has been running for 0.100109845797 hours
Daemon has been running for 0.105671544141 hours
Daemon has been running for 0.111233618061 hours
Daemon has been running for 0.116795240243 hours
Daemon has been running for 0.122356190814 hours
Daemon has been running for 0.127918753889 hours
Daemon has been running for 0.133479694989 hours
Daemon has been running for 0.139041221672 hours
Daemon has been running for 0.144602215555 hours
Daemon has been running for 0.150164559417 hours
Daemon has been running for 0.155725746353 hours
Daemon has been running for 0.161287801928 hours
Daemon has been running for 0.166849945519 hours
Daemon has been running for 0.172411329746 hours
Daemon has been running for 0.177973851098 hours
Daemon has been running for 0.183536375297 hours
Daemon has been running for 0.189097431964 hours
Daemon has been running for 0.194658891691 hours
Daemon has been running for 0.200221029984 hours
Daemon has been running for 0.205782296393 hours
Daemon has been running for 0.211345066362 hours
Daemon has been running for 0.216906207204 hours
Daemon has been running for 0.222468468613 hours
Daemon has been running for 0.228030506968 hours
Daemon has been running for 0.233591496083 hours
Daemon has been running for 0.239152996076 hours
Daemon has been running for 0.244714778331 hours
Daemon has been running for 0.250276353028 hours
Daemon has been running for 0.255837771098 hours
Daemon has been running for 0.261399891376 hours
Daemon has been running for 0.266961236133 hours
Daemon has been running for 0.272524807519 hours
Daemon has been running for 0.278086358309 hours
