Daemon started at 20:59:54 with pid 16264
To kill this process type "kill 16264" at the head node command line
Daemon has been running for 0.0055632485946 hours
Daemon has been running for 0.0111281163825 hours
Daemon has been running for 0.0166895261076 hours
Daemon has been running for 0.0222509258323 hours
Daemon has been running for 0.0278128116661 hours
Daemon has been running for 0.033373994165 hours
Daemon has been running for 0.0389355969429 hours
Daemon has been running for 0.0444973099894 hours
Daemon has been running for 0.0500586764018 hours
Daemon has been running for 0.0556199519502 hours
Daemon has been running for 0.0611824444267 hours
Daemon has been running for 0.0667434652646 hours
Daemon has been running for 0.0723048677709 hours
Daemon has been running for 0.0778671244118 hours
Daemon has been running for 0.0834296469556 hours
Daemon has been running for 0.0889910144276 hours
Daemon has been running for 0.094554505282 hours
Daemon has been running for 0.100116338597 hours
Daemon has been running for 0.105678721401 hours
Daemon has been running for 0.111240343054 hours
Daemon has been running for 0.116801783575 hours
Daemon has been running for 0.122362112469 hours
Daemon has been running for 0.127923630277 hours
Daemon has been running for 0.133484583894 hours
Daemon has been running for 0.139045773347 hours
Daemon has been running for 0.144607989722 hours
Daemon has been running for 0.150169479185 hours
Daemon has been running for 0.155730312202 hours
Daemon has been running for 0.1612917661 hours
Daemon has been running for 0.166853090856 hours
Daemon has been running for 0.172414552768 hours
Daemon has been running for 0.177976628608 hours
Daemon has been running for 0.183537709713 hours
Daemon has been running for 0.189099300305 hours
Daemon has been running for 0.194663475023 hours
Daemon has been running for 0.200224688914 hours
Daemon has been running for 0.20578589446 hours
Daemon has been running for 0.211347037488 hours
Daemon has been running for 0.216908643047 hours
Daemon has been running for 0.222469614744 hours
Daemon has been running for 0.228030713333 hours
Daemon has been running for 0.233592020538 hours
Daemon has been running for 0.239154081676 hours
Daemon has been running for 0.244715238611 hours
Daemon has been running for 0.250277033316 hours
Daemon has been running for 0.255837921103 hours
Daemon has been running for 0.261399642759 hours
Daemon has been running for 0.266960944732 hours
Daemon has been running for 0.272522937192 hours
Daemon has been running for 0.278085682193 hours
Daemon has been running for 0.283647341927 hours
Daemon has been running for 0.28920836303 hours
Daemon has been running for 0.294770612187 hours
Daemon has been running for 0.300331330299 hours
Daemon has been running for 0.305893586675 hours
Daemon has been running for 0.31145530608 hours
Daemon has been running for 0.317016859452 hours
Daemon has been running for 0.322581299411 hours
Daemon has been running for 0.328143022193 hours
Daemon has been running for 0.333703758054 hours
Daemon has been running for 0.339264753064 hours
Daemon has been running for 0.344825824433 hours
Daemon has been running for 0.350386983355 hours
Daemon has been running for 0.355947588351 hours
Daemon has been running for 0.361509335571 hours
Daemon has been running for 0.367071304454 hours
Daemon has been running for 0.37263397336 hours
Daemon has been running for 0.378197936681 hours
Daemon has been running for 0.38375970251 hours
Daemon has been running for 0.389321168065 hours
Daemon has been running for 0.394882551961 hours
