Daemon started at 8:41:48 with pid 23040
To kill this process type "kill 23040" at the head node command line
Daemon has been running for 0.00556143528885 hours
Daemon has been running for 0.0111221794287 hours
Daemon has been running for 0.0166821710931 hours
Daemon has been running for 0.0222428092029 hours
Daemon has been running for 0.0278036650022 hours
Daemon has been running for 0.0333644266923 hours
Daemon has been running for 0.0389263769653 hours
Daemon has been running for 0.0444872417053 hours
Daemon has been running for 0.0500484800339 hours
Daemon has been running for 0.0556097963783 hours
Daemon has been running for 0.0611702427599 hours
Daemon has been running for 0.0667314330737 hours
Daemon has been running for 0.0722922560904 hours
Daemon has been running for 0.0778552224901 hours
Daemon has been running for 0.083415859739 hours
Daemon has been running for 0.0889777372281 hours
Daemon has been running for 0.0945381719536 hours
Daemon has been running for 0.100099110007 hours
Daemon has been running for 0.105661195848 hours
Daemon has been running for 0.111221879986 hours
Daemon has been running for 0.116782552534 hours
Daemon has been running for 0.122344398631 hours
Daemon has been running for 0.127905645569 hours
Daemon has been running for 0.133466628922 hours
Daemon has been running for 0.139028921392 hours
Daemon has been running for 0.144590058592 hours
Daemon has been running for 0.150151532756 hours
Daemon has been running for 0.155713866419 hours
Daemon has been running for 0.161274480555 hours
Daemon has been running for 0.166835731135 hours
Daemon has been running for 0.172398452229 hours
Daemon has been running for 0.177959058086 hours
Daemon has been running for 0.183520570861 hours
Daemon has been running for 0.189082122246 hours
Daemon has been running for 0.194642884996 hours
Daemon has been running for 0.20020401001 hours
Daemon has been running for 0.205765601132 hours
Daemon has been running for 0.211326353086 hours
Daemon has been running for 0.216887520552 hours
Daemon has been running for 0.222449026969 hours
Daemon has been running for 0.228009939459 hours
Daemon has been running for 0.233570807245 hours
Daemon has been running for 0.239133365022 hours
Daemon has been running for 0.24469405916 hours
Daemon has been running for 0.250254611969 hours
Daemon has been running for 0.255816066927 hours
Daemon has been running for 0.26137682418 hours
Daemon has been running for 0.266937488649 hours
Daemon has been running for 0.272499299447 hours
Daemon has been running for 0.278060501152 hours
Daemon has been running for 0.283621182773 hours
Daemon has been running for 0.289184333881 hours
Daemon has been running for 0.294745538367 hours
Daemon has been running for 0.300306637221 hours
Daemon has been running for 0.305868751407 hours
Daemon has been running for 0.311429465546 hours
Daemon has been running for 0.316990725001 hours
Daemon has been running for 0.322552018364 hours
Daemon has been running for 0.328113165299 hours
Daemon has been running for 0.333674648868 hours
Daemon has been running for 0.339236085018 hours
Daemon has been running for 0.344797923035 hours
Daemon has been running for 0.350359056128 hours
Daemon has been running for 0.355921255284 hours
Daemon has been running for 0.361484005584 hours
Daemon has been running for 0.367044964168 hours
Daemon has been running for 0.372606451379 hours
Daemon has been running for 0.378167908059 hours
Daemon has been running for 0.383729388316 hours
Daemon has been running for 0.38929127362 hours
Daemon has been running for 0.394852211144 hours
Daemon has been running for 0.400413950019 hours
Daemon has been running for 0.405976191693 hours
Daemon has been running for 0.411536860598 hours
Daemon has been running for 0.417098462515 hours
Daemon has been running for 0.422660522262 hours
Daemon has been running for 0.42822134859 hours
Daemon has been running for 0.433782194191 hours
Daemon has been running for 0.439343965848 hours
Daemon has been running for 0.444904977481 hours
Daemon has been running for 0.450466463036 hours
Daemon has been running for 0.456028691398 hours
Daemon has been running for 0.461589969728 hours
Daemon has been running for 0.467151021692 hours
Daemon has been running for 0.472713011371 hours
Daemon has been running for 0.47827463501 hours
Daemon has been running for 0.483835618099 hours
Daemon has been running for 0.489397333066 hours
Daemon has been running for 0.494958754447 hours
Daemon has been running for 0.500520073904 hours
Daemon has been running for 0.506082465318 hours
Daemon has been running for 0.511643507481 hours
Daemon has been running for 0.517205017805 hours
Daemon has been running for 0.522766749461 hours
Daemon has been running for 0.528327829705 hours
Daemon has been running for 0.533888891141 hours
Daemon has been running for 0.539450606373 hours
Daemon has been running for 0.545011996958 hours
Daemon has been running for 0.550573484169 hours
Daemon has been running for 0.556136222217 hours
Daemon has been running for 0.561698018644 hours
Daemon has been running for 0.567259454727 hours
Daemon has been running for 0.572820936971 hours
Daemon has been running for 0.578381758067 hours
Daemon has been running for 0.583942753871 hours
Daemon has been running for 0.589504451421 hours
Daemon has been running for 0.595065235032 hours
Daemon has been running for 0.600626574755 hours
Daemon has been running for 0.606188112497 hours
Daemon has been running for 0.611749024722 hours
Daemon has been running for 0.617310235037 hours
Daemon has been running for 0.622871776422 hours
Daemon has been running for 0.62843226499 hours
Daemon has been running for 0.633992981646 hours
Daemon has been running for 0.639555090864 hours
Daemon has been running for 0.645115715861 hours
Daemon has been running for 0.6506767667 hours
Daemon has been running for 0.656238313913 hours
Daemon has been running for 0.66179924806 hours
Daemon has been running for 0.667360301415 hours
Daemon has been running for 0.672922025853 hours
Daemon has been running for 0.678482681976 hours
Daemon has been running for 0.684043417772 hours
Daemon has been running for 0.68960517221 hours
Daemon has been running for 0.695166089469 hours
Daemon has been running for 0.700727091432 hours
Daemon has been running for 0.706289422777 hours
Daemon has been running for 0.711851633324 hours
Daemon has been running for 0.717413179477 hours
Daemon has been running for 0.722976005872 hours
Daemon has been running for 0.72853690611 hours
Daemon has been running for 0.734098438091 hours
Daemon has been running for 0.73966045532 hours
Daemon has been running for 0.745222239163 hours
Daemon has been running for 0.750783044762 hours
Daemon has been running for 0.756344482766 hours
Daemon has been running for 0.761905943089 hours
Daemon has been running for 0.76746713082 hours
Daemon has been running for 0.773029010031 hours
Daemon has been running for 0.778589397801 hours
Daemon has been running for 0.784149990545 hours
Daemon has been running for 0.789712212483 hours
Daemon has been running for 0.795272856951 hours
