Daemon started at 15:25:2 with pid 31905
To kill this process type "kill 31905" at the head node command line
Daemon has been running for 0.00556138998932 hours
Daemon has been running for 0.0111218655772 hours
Daemon has been running for 0.0166824452745 hours
Daemon has been running for 0.0222430313958 hours
Daemon has been running for 0.027804031637 hours
Daemon has been running for 0.0333642683427 hours
Daemon has been running for 0.0389259355598 hours
Daemon has been running for 0.0444863352511 hours
Daemon has been running for 0.050046918326 hours
Daemon has been running for 0.0556079841322 hours
Daemon has been running for 0.0611691833205 hours
Daemon has been running for 0.0667413044638 hours
Daemon has been running for 0.072302226358 hours
Daemon has been running for 0.0778630603022 hours
Daemon has been running for 0.0834240896834 hours
Daemon has been running for 0.0889857166343 hours
Daemon has been running for 0.0945466855499 hours
Daemon has been running for 0.100107935535 hours
Daemon has been running for 0.105668293304 hours
Daemon has been running for 0.111230105294 hours
Daemon has been running for 0.116789806684 hours
Daemon has been running for 0.122351498604 hours
Daemon has been running for 0.127912495004 hours
Daemon has been running for 0.133473338021 hours
Daemon has been running for 0.13903461496 hours
Daemon has been running for 0.144595433871 hours
Daemon has been running for 0.150156366362 hours
Daemon has been running for 0.155717533628 hours
Daemon has been running for 0.16127839413 hours
Daemon has been running for 0.166839662525 hours
Daemon has been running for 0.172400478853 hours
Daemon has been running for 0.177962574694 hours
Daemon has been running for 0.183522902462 hours
Daemon has been running for 0.189084511134 hours
Daemon has been running for 0.194644785523 hours
Daemon has been running for 0.200206097762 hours
Daemon has been running for 0.205767132243 hours
Daemon has been running for 0.211328832507 hours
Daemon has been running for 0.216890140838 hours
Daemon has been running for 0.222452308867 hours
Daemon has been running for 0.228016659154 hours
Daemon has been running for 0.233578713602 hours
Daemon has been running for 0.23914522469 hours
Daemon has been running for 0.244709153573 hours
Daemon has been running for 0.250274842779 hours
Daemon has been running for 0.255840418339 hours
Daemon has been running for 0.261404681934 hours
Daemon has been running for 0.266968941092 hours
Daemon has been running for 0.272555283904 hours
Daemon has been running for 0.278120620516 hours
Daemon has been running for 0.283686026401 hours
Daemon has been running for 0.28925139361 hours
Daemon has been running for 0.29481606808 hours
Daemon has been running for 0.300379879408 hours
Daemon has been running for 0.30594374001 hours
Daemon has been running for 0.311506573889 hours
Daemon has been running for 0.317069372469 hours
Daemon has been running for 0.322632414964 hours
Daemon has been running for 0.328195285002 hours
Daemon has been running for 0.333760243853 hours
Daemon has been running for 0.339325201644 hours
Daemon has been running for 0.344888168308 hours
Daemon has been running for 0.350452435282 hours
Daemon has been running for 0.356017645531 hours
Daemon has been running for 0.361581992507 hours
Daemon has been running for 0.367145250241 hours
Daemon has been running for 0.372711836629 hours
Daemon has been running for 0.37827545166 hours
Daemon has been running for 0.383841029737 hours
Daemon has been running for 0.389405049682 hours
Daemon has been running for 0.394969808327 hours
Daemon has been running for 0.400534735852 hours
Daemon has been running for 0.406098758048 hours
Daemon has been running for 0.411662877202 hours
Daemon has been running for 0.417225906385 hours
Daemon has been running for 0.422792210844 hours
Daemon has been running for 0.428355140289 hours
Daemon has been running for 0.433922510809 hours
Daemon has been running for 0.43948689719 hours
Daemon has been running for 0.445050872498 hours
Daemon has been running for 0.45061721358 hours
Daemon has been running for 0.456187499166 hours
Daemon has been running for 0.461754837235 hours
Daemon has been running for 0.467321981125 hours
Daemon has been running for 0.472890378038 hours
Daemon has been running for 0.478457245827 hours
Daemon has been running for 0.48402699497 hours
Daemon has been running for 0.489595113595 hours
Daemon has been running for 0.495158301923 hours
Daemon has been running for 0.500725406077 hours
Daemon has been running for 0.506291442182 hours
Daemon has been running for 0.511857248876 hours
Daemon has been running for 0.517537234161 hours
Daemon has been running for 0.523103172514 hours
Daemon has been running for 0.528672098849 hours
Daemon has been running for 0.534237615797 hours
Daemon has been running for 0.539808726377 hours
Daemon has been running for 0.545377790531 hours
Daemon has been running for 0.550945274962 hours
Daemon has been running for 0.556511781414 hours
Daemon has been running for 0.562078696092 hours
Daemon has been running for 0.567704258031 hours
Daemon has been running for 0.573273607228 hours
Daemon has been running for 0.578840276665 hours
Daemon has been running for 0.584408375025 hours
Daemon has been running for 0.589974545836 hours
Daemon has been running for 0.595541976955 hours
Daemon has been running for 0.601109354165 hours
Daemon has been running for 0.606676602496 hours
Daemon has been running for 0.612245615522 hours
Daemon has been running for 0.617812773585 hours
Daemon has been running for 0.623379598061 hours
Daemon has been running for 0.628950504727 hours
Daemon has been running for 0.634518318574 hours
Daemon has been running for 0.640088600516 hours
Daemon has been running for 0.645657180548 hours
Daemon has been running for 0.651231421961 hours
Daemon has been running for 0.656808366113 hours
Daemon has been running for 0.662377407485 hours
Daemon has been running for 0.667949283587 hours
Daemon has been running for 0.673518033624 hours
Daemon has been running for 0.679086712201 hours
Daemon has been running for 0.684655221966 hours
Daemon has been running for 0.6902239875 hours
Daemon has been running for 0.695790475011 hours
Daemon has been running for 0.701359900832 hours
Daemon has been running for 0.706925616397 hours
Daemon has been running for 0.712493035528 hours
Daemon has been running for 0.718061708344 hours
Daemon has been running for 0.723627831671 hours
Daemon has been running for 0.729198831651 hours
Daemon has been running for 0.734765467246 hours
Daemon has been running for 0.740334548884 hours
Daemon has been running for 0.74590325945 hours
Daemon has been running for 0.751469266084 hours
Daemon has been running for 0.757035973072 hours
Daemon has been running for 0.762602372501 hours
Daemon has been running for 0.768169745538 hours
Daemon has been running for 0.773739198314 hours
Daemon has been running for 0.779304816657 hours
