Daemon started at 13:20:9 with pid 16410
To kill this process type "kill 16410" at the head node command line
Daemon has been running for 1.72470013301e-05 hours
Daemon has been running for 3.72672743267e-05 hours
Daemon has been running for 5.61377737257e-05 hours
Daemon has been running for 7.45547480053e-05 hours
Daemon has been running for 9.23158725103e-05 hours
Daemon has been running for 0.000111989180247 hours
Daemon has been running for 0.000130302243763 hours
Daemon has been running for 0.000146901143922 hours
Daemon has been running for 0.000165853632821 hours
Daemon has been running for 0.000182457500034 hours
Daemon has been running for 0.00020291003916 hours
Daemon has been running for 0.000221161974801 hours
Daemon has been running for 0.000240203340848 hours
Daemon has been running for 0.000258602831099 hours
Daemon has been running for 0.000275807778041 hours
Daemon has been running for 0.000294395883878 hours
Daemon has been running for 0.000312836103969 hours
Daemon has been running for 0.000331655873193 hours
Daemon has been running for 0.000350288086467 hours
Daemon has been running for 0.000368760029475 hours
Daemon has been running for 0.000387012826072 hours
Daemon has been running for 0.00040682249599 hours
Daemon has been running for 0.0171424180932 hours
Daemon has been running for 0.0171600630548 hours
Daemon has been running for 0.017179681725 hours
Daemon has been running for 0.0339159975449 hours
Daemon has been running for 0.0506526950333 hours
Daemon has been running for 0.0506725022528 hours
Daemon has been running for 0.0506915686528 hours
Daemon has been running for 0.0507104447153 hours
Daemon has been running for 0.0507288780477 hours
Daemon has been running for 0.0507463794947 hours
Daemon has been running for 0.0563382238812 hours
Daemon has been running for 0.056355587244 hours
Daemon has been running for 0.0563759036197 hours
Daemon has been running for 0.0563922441668 hours
